task~metadata
Γεια σας!~Здравствуйте!; йа сас (γ → "й" перед гласными; ει → "и" дифтонг)
Γεια σου!~Привет!; йа су (γ → "й" перед гласными; ει → "и" дифтонг; ου → "у" дифтонг)
Τι κάνεις;~Как дела?; ти канис (ει → "и" дифтонг)
Με λένε Ίγκορ~Меня зовут Игорь; мэ лэнэ игкор (γκ → "г")
Πώς σας λένε;~Как вас зовут?; пос сас лэнэ
Πόσο κοστίζει αυτό;~Сколько это стоит?; посо костизи авто (αυ → "ав" дифтонг; ει → "и" дифтонг)
Ναι~Да; нэ (αι → "э" дифтонг)
Όχι~Нет; охи (χ → "х" придыхательный)
Έχετε αυτό το αντικείμενο;~У вас есть этот предмет?; эхэтэ авто то андикимэно (χ → "х" придыхательный; αυ → "ав" дифтонг; ει → "и" дифтонг)
Χαίρομαι που σας γνωρίζω!~Приятно познакомиться!; хэромэ пу сас гноризо (χ → "х" придыхательный; αι → "э" дифтонг; ου → "у" дифтонг)
Εντάξει~Окей (согласие); эндакси (ει → "и" дифтонг)
Όλα καλά~Все хорошо; ола кала
Βάλτε την υπογραφή σας~Поставьте вашу подпись; валтэ тин ипографи сас
Συγγνώμη~Извините; сингноми (γγ → "нг")
Παρακαλώ~Пожалуйста; паракало
Αντίο~До свидания; андио
Γεια!~Пока; йа (γ → "й" перед гласными; ει → "и" дифтонг)
Γιατί;~Почему?; йати (γ → "й" перед гласными; αι → "э" дифтонг)
Πώς;~Как?; пос
Τι;~Что?; ти
Επαναλάβετε παρακαλώ~Повторите пожалуйста; эпаналавэтэ паракало
Δεν μιλάω καλά ελληνικά~Я плохо говорю по-гречески; дэн милао кала эллиника (δ → "д" межзубный)
Μιλάτε αγγλικά ή ρωσικά;~Вы говорите на английском или русском?; милатэ англика и росика (γγ → "нг")
Μπορείτε να με βοηθήσετε;~Подскажите пожалуйста; борытэ на мэ воисытэ (μπ → "б"; ει → "и" дифтонг; θ → "ф" межзубный)
Πού είναι το αεροδρόμιο;~Где аэропорт?; пу инэ то аэродромио (ου → "у" дифтонг; ει → "и" дифтонг)
Πώς μπορώ να καλέσω ταξί;~Как вызвать такси?; пос боро на калэсо такси (μπ → "б")
Μπορώ να πάρω τον αριθμό τηλεφώνου σας;~Можно ваш номер телефона?; боро на паро тон арифмо тилэфону сас (μπ → "б"; ου → "у" дифтонг)
Αυτός είναι ο αριθμός μου~Вот мой номер телефона; автос инэ о арифмос му (αυ → "ав" дифтонг; ει → "и" дифтонг; ου → "у" дифтонг)
Μηδέν~Ноль; мидэн
Ένα~Один; эна
Δύο~Два; дио (δ → "д" межзубный)
Τρία~Три; триа
Τέσσερα~Четыре; тэссэра
Πέντε~Пять; пэндэ (ντ → "д")
Έξι~Шесть; экси
Επτά~Семь; эпта
Οκτώ~Восемь; окто
Εννέα~Девять; эннэа
Δέκα~Десять; дэка (δ → "д" межзубный)
Καλημέρα~Доброе утро; калимэра
Καλησπέρα~Добрый вечер; калиспэра
Καληνύχτα~Доброй ночи; калинихта (χ → "х" придыхательный)
Ευχαριστώ~Спасибо; эвхаристо (ευ → "эв" дифтонг; χ → "х" придыхательный)
Ευχαριστώ πολύ~Большое спасибо; эвхаристо поли (ευ → "эв" дифтонг; χ → "х" придыхательный)
Παρακαλώ~Не за что; паракало
Τι ώρα είναι;~Который час?; ти ора инэ (ει → "и" дифтонг)
Πού είναι το μπάνιο;~Где туалет?; пу инэ то банио (ου → "у" дифтонг; ει → "и" дифтонг; μπ → "б")
Χρειάζομαι βοήθεια~Мне нужна помощь; хриазомэ воифиа (χ → "х" придыхательный; ει → "и" дифтонг; θ → "ф" межзубный)
Δεν καταλαβαίνω~Я не понимаю; дэн каталавэно (δ → "д" межзубный; αι → "э" дифтонг)
Μπορείτε να μου δείξετε;~Можете мне показать?; борытэ на му диксэтэ (μπ → "б"; ει → "и" дифтонг; ου → "у" дифтонг)
Πού είναι το κέντρο;~Где центр?; пу инэ то кэндро (ου → "у" дифтонг; ει → "и" дифтонг; ντ → "д")
Πόσο κοστίζει;~Сколько стоит?; посо костизи (ει → "и" дифтонг)
Είμαι τουρίστας~Я турист; имэ туристас (ει → "и" дифтонг; ου → "у" дифтонг)
Μένω στο ξενοδοχείο~Я живу в отеле; мэно сто ксэнодохио (ου → "у" дифтонг; ει → "и" дифтонг)
Πού είναι το νοσοκομείο;~Где больница?; пу инэ то носокомио (ου → "у" дифтонг; ει → "и" дифтонг)
Χρειάζομαι γιατρό~Мне нужен врач; хриазомэ йатро (χ → "х" придыхательный; ει → "и" дифтонг; γ → "й" перед гласными)
Πονάει εδώ~Болит здесь; понаи эдо (αι → "э" дифтонг; ει → "и" дифтонг)
Έχω πυρετό~У меня температура; эхо пирэто (χ → "х" придыхательный)
Αισθάνομαι άσχημα~Я плохо себя чувствую; эсфаномэ асхима (αι → "э" дифтонг; θ → "ф" межзубный; χ → "х" придыхательный)
Πού είναι το φαρμακείο;~Где аптека?; пу инэ то фармакио (ου → "у" дифтонг; ει → "и" дифтонг)
Έχετε φάρμακα;~У вас есть лекарства?; эхэтэ фармака (χ → "х" придыхательный)
Μπορώ να πληρώσω με κάρτα;~Могу ли я заплатить картой?; боро на плиросо мэ карта (μπ → "б")
Πού είναι η τράπεζα;~Где банк?; пу инэ и трапэза (ου → "у" дифтонг; ει → "и" дифтонг)
